2021-06-07 21:12:22.087 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=011f6f6b-24df-3d65-8caa-e985c7500638
2021-06-07 21:12:22.784 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@4aa21f9d' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-07 21:12:22.804 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-07 21:12:24.081 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2021-06-07 21:12:24.084 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5630 ms
2021-06-07 21:12:25.332 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2021-06-07 21:12:25.343 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'executor'
2021-06-07 21:12:27.065 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'executor'
2021-06-07 21:12:27.090 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-06-07 21:13:25.594 [main] INFO  com.mrl.pastry.upload.UploadApplication - The following profiles are active: upload,prod
2021-06-07 21:13:28.128 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=011f6f6b-24df-3d65-8caa-e985c7500638
