2021-06-08 19:36:37.757 [SpringContextShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2021-06-08 19:36:37.769 [SpringContextShutdownHook] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2021-06-08 19:36:37.770 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-06-08 19:36:37.949 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2021-06-08 19:36:38.018 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2021-06-08 19:42:48.280 [main] INFO  com.mrl.pastry.pay.PayApplication - The following profiles are active: security,dev
2021-06-08 19:42:53.876 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-06-08 19:42:53.883 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-06-08 19:42:53.988 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59ms. Found 0 Redis repository interfaces.
2021-06-08 19:42:56.115 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=f60bc12c-445e-3276-a570-e06c3e24987b
2021-06-08 19:42:58.571 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.mrl.pastry.common.config.RedisConfiguration' of type [com.mrl.pastry.common.config.RedisConfiguration$$EnhancerBySpringCGLIB$$d78192c4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-08 19:42:59.311 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@76db9048' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-08 19:42:59.379 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-08 19:43:01.203 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2021-06-08 19:43:01.206 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 12865 ms
2021-06-08 19:43:04.354 [main] INFO  org.redisson.Version - Redisson 3.13.6
2021-06-08 19:43:06.869 [redisson-netty-2-20] INFO  o.r.connection.pool.MasterPubSubConnectionPool - 1 connections initialized for redis/127.0.0.1:6379
2021-06-08 19:43:07.111 [redisson-netty-2-20] INFO  org.redisson.connection.pool.MasterConnectionPool - 24 connections initialized for redis/127.0.0.1:6379
2021-06-08 19:43:18.401 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-06-08 19:43:18.828 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-08 19:43:18.849 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-06-08 19:43:20.113 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-08 19:43:21.300 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2021-06-08 19:43:21.999 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/swagger-ui.html', GET], []
2021-06-08 19:43:22.000 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/doc.html', GET], []
2021-06-08 19:43:22.001 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/swagger-resources/**', GET], []
2021-06-08 19:43:22.001 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/swagger/**', GET], []
2021-06-08 19:43:22.001 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**/*.js', GET], []
2021-06-08 19:43:22.002 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**/*.css', GET], []
2021-06-08 19:43:22.002 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**/*.png', GET], []
2021-06-08 19:43:22.002 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/**/*.ico', GET], []
2021-06-08 19:43:22.002 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/v2/api-docs/**', GET], []
2021-06-08 19:43:22.003 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/webjars/springfox-swagger-ui/**', GET], []
2021-06-08 19:43:22.003 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/druid/**', GET], []
2021-06-08 19:43:22.309 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@701a79b, org.springframework.security.web.context.SecurityContextPersistenceFilter@3ad5f99, org.springframework.security.web.header.HeaderWriterFilter@6bbff652, org.springframework.security.web.authentication.logout.LogoutFilter@5e08ed28, com.mrl.pastry.common.filter.JwtAuthFilter@7eefaca0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3fbf66e7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4582da06, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2605433, org.springframework.security.web.session.SessionManagementFilter@38447073, org.springframework.security.web.access.ExceptionTranslationFilter@24244ea, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@17a89cb1]
2021-06-08 19:43:26.886 [main] INFO  io.undertow - starting server: Undertow - 2.1.3.Final
2021-06-08 19:43:26.923 [main] INFO  org.xnio - XNIO version 3.8.0.Final
2021-06-08 19:43:26.984 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.0.Final
2021-06-08 19:43:27.189 [main] INFO  org.jboss.threads - JBoss Threads version 3.1.0.Final
2021-06-08 19:43:27.383 [main] INFO  o.s.boot.web.embedded.undertow.UndertowWebServer - Undertow started on port(s) 8470 (http)
2021-06-08 19:43:27.670 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP pastry-pay 192.168.43.215:8470 register finished
2021-06-08 19:43:30.094 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [rabbit:5672]
2021-06-08 19:43:51.122 [main] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Broker not available; cannot force queue declarations during start: java.net.ConnectException: Connection timed out: connect
2021-06-08 19:43:51.172 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [rabbit:5672]
2021-06-08 19:44:11.530 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [rabbit:5672]
2021-06-08 19:44:18.315 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#726e29d:2/SimpleConnection@23f89219 [delegate=amqp://mrl@47.115.138.120:5672//pastry, localPort= 62205]
2021-06-08 19:44:27.099 [main] INFO  com.mrl.pastry.pay.PayApplication - Started PayApplication in 106.095 seconds (JVM running for 110.687)
2021-06-08 19:44:27.150 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-06-08 19:44:27.599 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-06-08 19:44:33.030 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@391cc6cf: tags=[[amq.ctag-5mh0EOQwdKCUlZ20IpG8RQ]], channel=Cached Rabbit Channel: AMQChannel(amqp://mrl@47.115.138.120:5672//pastry,4), conn: Proxy@72f3324c Shared Rabbit Connection: SimpleConnection@23f89219 [delegate=amqp://mrl@47.115.138.120:5672//pastry, localPort= 62205], acknowledgeMode=MANUAL local queue size=1
2021-06-08 19:44:35.174 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@e9e25b5: tags=[[amq.ctag-Ko6p653IS2RkYQ-MdxLcsw]], channel=Cached Rabbit Channel: AMQChannel(amqp://mrl@47.115.138.120:5672//pastry,3), conn: Proxy@72f3324c Shared Rabbit Connection: SimpleConnection@23f89219 [delegate=amqp://mrl@47.115.138.120:5672//pastry, localPort= 62205], acknowledgeMode=MANUAL local queue size=0
2021-06-08 19:44:35.398 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@4f20ff8e: tags=[[amq.ctag-9k4vKaNv1Kx2vATIvNbw5Q]], channel=Cached Rabbit Channel: AMQChannel(amqp://mrl@47.115.138.120:5672//pastry,5), conn: Proxy@72f3324c Shared Rabbit Connection: SimpleConnection@23f89219 [delegate=amqp://mrl@47.115.138.120:5672//pastry, localPort= 62205], acknowledgeMode=MANUAL local queue size=0
